ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Automation Status,Area Path,Changed Date,Created By,Created Date,State,Tags
"556263","Test Case","[Bulk Assignments] Validate the fields in Staff Member Bulk Unassignments and validate the user can unassign the staff",,,,"Automated","DC-ST\Carity\Core","Tue Apr 29 2025 13:34:12 GMT+0000 (Coordinated Universal Time)","Swetha Jangili <FEI\swetha.jangili>","Wed Feb 23 2022 19:22:53 GMT+0000 (Coordinated Universal Time)","Ready","BulkAssignmentsModule; Carity_STD_RegressionTest; InSuite; StdRAutomated"
,,,"1","Login to the test environment
","User is logged in and the Home page displays
",,,,,,,
,,,"2","Navigate to the 3 dot ellipsis menu and click Bulk Assignments","The Bulk Assignments List page displays",,,,,,,
,,,"3","Fill in the required fields as desired for the test and click on Run Query","Bulk Assignments List page displays with the filtered records
",,,,,,,
,,,"4","Select 1 or more records and click on the Unassign Staff button in the Bulk Assignments list","Staff Member Bulk Unassignments modal displays",,,,,,,
,,,"5","Validate the Unassign Reason is a required field which is a single select drop down that displays the below values:
 
Deceased
Department involuntarily ends services/ termination due to no contact
Moved out of State and chose to terminate services
Moved to Nursing Facility
No longer chooses to receive services
No longer eligible for Medicaid
Other
Services not used
Termination of Gx/Cx and does not receive services
","Validated",,,,,,,
,,,"6","Validate if Unassign Reason is Other, the Other (Unassign Reason) single select drop down field is displayed which is a required field
","Validated",,,,,,,
,,,"7","Validate Notes is a text field which only allows 10000 characters by attempting to add more and receiving an error message
","Validated
",,,,,,,
,,,"8","Fill in data in all the required fields and click on Continue
","A confirmation modal displays with the text: ""You are about to unassign staff member from the selected member records. Would you like to continue?""
",,,,,,,
,,,"9","Click on Continue and validate the status of the assignment is displayed
","Validated",,,,,,,
,,,"10","Click on the Close button and validate the changes are applied as per the status in step 9","Validated
",,,,,,,
,,,"11","Logout of the testing environment
","User is logged out
",,,,,,,
